Month,Demand
Jan-00,246
Feb-00,246
Mar-00,209
Apr-00,453
May-00,467
Jun-00,203
Jul-00,213
Aug-00,199
Sep-00,265
Oct-00,236
Nov-00,317
Dec-00,504
Jan-01,218
Feb-01,460
Mar-01,460
Apr-01,448
May-01,250
Jun-01,196
Jul-01,259
Aug-01,311
Sep-01,207
Oct-01,169
Nov-01,397
Dec-01,189
Jan-02,180
Feb-02,306
Mar-02,200
Apr-02,382
May-02,246
Jun-02,407
Jul-02,355
Aug-02,257
Sep-02,226
Oct-02,191
Nov-02,297
Dec-02,251
Jan-03,312
Feb-03,190
Mar-03,225
Apr-03,262
May-03,345
Jun-03,215
Jul-03,252
Aug-03,481
Sep-03,300
Oct-03,241
Nov-03,222
Dec-03,228
Jan-04,197
Feb-04,194
Mar-04,237
Apr-04,372
May-04,290
Jun-04,239
Jul-04,199
Aug-04,496
Sep-04,347
Oct-04,377
Nov-04,316
Dec-04,188
Jan-05,254
Feb-05,279
Mar-05,402
Apr-05,311
May-05,257
Jun-05,327
Jul-05,345
Aug-05,215
Sep-05,237
Oct-05,465
Nov-05,311
Dec-05,205
Jan-06,249
Feb-06,224
Mar-06,221
Apr-06,221
May-06,338
Jun-06,433
Jul-06,196
Aug-06,324
Sep-06,201
Oct-06,381
Nov-06,214
Dec-06,208
Jan-07,242
Feb-07,337
Mar-07,171
Apr-07,299
May-07,212
Jun-07,389
Jul-07,264
Aug-07,368
Sep-07,243
Oct-07,269
Nov-07,224
Dec-07,198
Jan-08,355
Feb-08,457
Mar-08,233
Apr-08,225
May-08,195
Jun-08,207
Jul-08,359
Aug-08,224
Sep-08,202
Oct-08,269
Nov-08,205
Dec-08,307
Jan-09,275
Feb-09,192
Mar-09,165
Apr-09,310
May-09,232
Jun-09,216
Jul-09,290
Aug-09,196
Sep-09,358
Oct-09,239
Nov-09,382
Dec-09,248
Jan-10,243
Feb-10,253
Mar-10,234
Apr-10,201
May-10,227
Jun-10,200
Jul-10,219
Aug-10,199
Sep-10,253
Oct-10,225
Nov-10,235
Dec-10,287
Jan-11,229
Feb-11,377
Mar-11,277
Apr-11,219
May-11,230
Jun-11,411
Jul-11,214
Aug-11,248
Sep-11,390
Oct-11,294
Nov-11,204
Dec-11,230
Jan-12,228
Feb-12,205
Mar-12,178
Apr-12,218
May-12,248
Jun-12,484
Jul-12,357
Aug-12,198
Sep-12,237
Oct-12,209
Nov-12,263
Dec-12,286
Jan-13,230
Feb-13,252
Mar-13,245
Apr-13,242
May-13,236
Jun-13,237
Jul-13,295
Aug-13,294
Sep-13,413
Oct-13,224
Nov-13,258
Dec-13,153
Jan-14,262
Feb-14,210
Mar-14,211
Apr-14,249
May-14,220
Jun-14,204
Jul-14,262
Aug-14,223
Sep-14,291
Oct-14,296
Nov-14,533
Dec-14,118
Jan-15,317
Feb-15,264
Mar-15,223
Apr-15,250
May-15,246
Jun-15,529
Jul-15,169
Aug-15,207
Sep-15,206
Oct-15,239
Nov-15,399
Dec-15,211
Jan-16,331
Feb-16,204
Mar-16,189
Apr-16,204
May-16,401
Jun-16,218
Jul-16,220
Aug-16,245
Sep-16,163
Oct-16,401
Nov-16,538
Dec-16,461
Jan-17,276
Feb-17,217
Mar-17,496
Apr-17,389
May-17,495
Jun-17,527
Jul-17,427
Aug-17,327
Sep-17,385
Oct-17,402
Nov-17,264
Dec-17,231
Jan-18,264
Feb-18,217
Mar-18,482
Apr-18,229
May-18,499
Jun-18,256
Jul-18,255
Aug-18,507
Sep-18,233
Oct-18,234
Nov-18,523
Dec-18,229
Jan-19,209
Feb-19,323
Mar-19,217
Apr-19,299
May-19,230
Jun-19,346
Jul-19,377
Aug-19,414
Sep-19,213
Oct-19,250
Nov-19,219
Dec-19,264
Jan-20,211
Feb-20,396
Mar-20,227
Apr-20,276
May-20,231
Jun-20,315
Jul-20,372
Aug-20,238
Sep-20,234
Oct-20,273
Nov-20,271
Dec-20,350
Jan-21,200
Feb-21,338
Mar-21,351
Apr-21,338
May-21,213
Jun-21,309
Jul-21,147
Aug-21,449
Sep-21,255
Oct-21,176
Nov-21,323
Dec-21,279
Jan-22,288
Feb-22,366
Mar-22,199
